#pos_x,pos_y,vertical,horizontal,magnitude
0,0,-30.73852354,36.11305263,47.42372191
0.5,0,-28.94463482,36.93862423,46.92817751
1,0,-27.49194333,36.15493112,45.4201056
1.5,0,-26.84038227,35.97023581,44.88055241
2,0,-25.23817009,36.13311014,44.07456044
2.5,0,-26.42871367,35.93002542,44.60317963
3,0,-26.66422144,36.23400586,44.98759702
3.5,0,-26.61652603,35.96272693,44.74100118
4,0,-26.5475927,35.2454806,44.1250335
4.5,0,-25.11167559,34.61634643,42.7654965
5,0,-23.42362735,35.31652944,42.37833845
5.5,0,-21.63239024,35.37151252,41.46208154
6,0,-22.23830098,33.50894272,40.21680336
6.5,0,-22.56482476,31.83994435,39.02503521
7,0,-22.86887571,31.33868747,38.79560295
7.5,0,-23.35671945,35.28146256,42.3121489
8,0,-20.21001089,36.79657963,41.98133886
8.5,0,-15.29859389,43.5381896,46.14781607
9,0,-13.89723473,40.90070668,43.19723301
9.5,0,-15.74284916,33.85190589,37.33348138
10,0,-16.6708742,34.23849197,38.0813915
10.5,0,-17.32442311,33.02748421,37.29544676
11,0,-18.19759958,32.85193834,37.55532563
11.5,0,-16.56154116,36.83812562,40.38975297
12,0,-15.30986027,39.1482452,42.03542463
12.5,0,-13.0549036,39.22234824,41.33791371
13,0,-13.64528627,36.47802089,38.94662817
13.5,0,-15.90170618,37.41915432,40.65780822
14,0,-16.05069011,38.45102248,41.66660273
14.5,0,-16.21466206,39.4105895,42.61584014
15,0,-17.58390283,40.07659622,43.76445137
15.5,0,-17.36158001,41.67238216,45.14434511
16,0,-20.8559521,40.77073872,45.79545691
16.5,0,-20.25774301,40.30768312,45.1119216
17,0,-18.38801903,42.06746793,45.91068614
17.5,0,-20.19802136,43.10369784,47.60135328
18,0,-22.02564791,44.62035604,49.76047968
18.5,0,-20.90124007,44.63945247,49.29039007
19,0,-22.88219683,43.49406695,49.14599467
19.5,0,-20.54452867,43.79954096,48.37848123
20,0,-21.67112033,42.8434548,48.01248875
20,0.5,0.290117161,47.47037559,47.47126211
19.5,0.5,-1.629816018,48.21286676,48.24040652
19,0.5,1.702226352,49.35452504,49.38387102
18.5,0.5,2.039721398,49.54778252,49.5897491
18,0.5,4.17352255,47.842265,48.02395872
17.5,0.5,5.454152805,45.91385754,46.2366748
17,0.5,5.764751973,45.85380093,46.21475332
16.5,0.5,6.74745875,44.97743711,45.48074371
16,0.5,8.938546888,44.18173752,45.0768627
15.5,0.5,7.433113177,43.78933133,44.41572592
15,0.5,6.833107633,44.26027623,44.78463366
14.5,0.5,8.062017556,43.33290896,44.07649176
14,0.5,9.163965229,42.11288775,43.09841729
13.5,0.5,9.175481836,39.85698726,40.89949755
13,0.5,6.106083807,39.78537973,40.25121986
12.5,0.5,9.219715832,39.19634757,40.26607534
12,0.5,7.603645992,39.72878849,40.44987104
11.5,0.5,7.649407543,37.94786492,38.71115973
11,0.5,8.649600188,37.90605306,38.88038634
10.5,0.5,7.267852225,38.40579575,39.08742539
10,0.5,7.817810204,37.60149979,38.40561082
9.5,0.5,7.605904444,37.69105456,38.45081763
9,0.5,10.85112949,37.70265553,39.23311414
8.5,0.5,10.29343469,39.0348527,40.36922743
8,0.5,9.600528769,38.57390029,39.75067215
7.5,0.5,8.967767028,38.31377831,39.34928784
7,0.5,6.167885554,40.0352741,40.50760403
6.5,0.5,9.349199493,38.93655062,40.04325792
6,0.5,9.083060239,40.00232348,41.02057858
5.5,0.5,8.736440602,41.12905784,42.04669777
5,0.5,10.8462543,40.57612736,42.00075409
4.5,0.5,12.26171427,41.01086523,42.80468086
4,0.5,9.360900774,43.02745695,44.0339473
3.5,0.5,11.89488696,42.01384952,43.66522515
3,0.5,11.12114311,43.33622624,44.74045517
2.5,0.5,11.47675451,43.3989606,44.8908195
2,0.5,10.94585638,43.48779106,44.84417179
1.5,0.5,12.16411474,42.89202153,44.58353057
1,0.5,11.82592594,43.56015654,45.13690023
0.5,0.5,11.53130997,44.22707293,45.7056352
0,0.5,10.45726993,45.61738075,46.80064018
0,1,-31.67568032,35.9325199,47.90088423
0.5,1,-29.61952515,35.70282549,46.38974044
1,1,-25.92408463,37.96243985,45.96960956
1.5,1,-24.49940681,37.24624802,44.58143027
2,1,-23.88731967,38.02244419,44.90334401
2.5,1,-25.18955266,38.1158774,45.68734696
3,1,-24.0416283,38.90598878,45.7348429
3.5,1,-24.54251048,38.70042383,45.82638569
4,1,-25.90439415,37.46426112,45.5478704
4.5,1,-25.44164522,37.14946866,45.02621829
5,1,-22.68390854,36.48432225,42.96120897
5.5,1,-20.93174135,38.04362963,43.42183265
6,1,-20.49775258,36.80064458,42.1241653
6.5,1,-19.54526837,36.69403243,41.57486658
7,1,-18.70829507,36.31230001,40.84829784
7.5,1,-17.16565742,37.42256648,41.17169266
8,1,-16.23263128,36.01072234,39.50025875
8.5,1,-13.35579359,37.65430049,39.95276671
9,1,-18.02819504,35.26469164,39.60573561
9.5,1,-17.42391617,36.22485625,40.1974261
10,1,-17.16750428,36.0654851,39.9429896
10.5,1,-15.74318158,37.44878711,40.62338517
11,1,-16.70482963,36.39876314,40.04898614
11.5,1,-15.4756789,37.27655846,40.36134845
12,1,-13.35542704,38.80172963,41.03585814
12.5,1,-14.02682201,38.93760785,41.38706368
13,1,-14.94522145,40.70419527,43.36117108
13.5,1,-15.34544092,39.8017706,42.65751399
14,1,-15.30595072,40.78047435,43.55822787
14.5,1,-16.10416776,41.80501823,44.79959563
15,1,-14.7137706,42.48319494,44.95905801
15.5,1,-15.97780531,42.23527764,45.15649388
16,1,-17.94205634,41.00281137,44.75654059
16.5,1,-16.23439918,42.11114644,45.13207697
17,1,-19.2209503,42.42598473,46.57691607
17.5,1,-18.34940344,43.56597028,47.27255412
18,1,-16.16900248,45.36554318,48.16086741
18.5,1,-18.54774259,44.8905751,48.57141637
19,1,-16.82431298,46.30310974,49.26495184
19.5,1,-17.29046795,46.17153925,49.30285305
20,1,-18.21673042,43.66628602,47.31378026
20,1.5,5.952515332,47.48622662,47.85785366
19.5,1.5,2.478236991,48.45546604,48.51879891
19,1.5,2.403580273,49.20319611,49.26186867
18.5,1.5,2.925376413,49.22931874,49.31616014
18,1.5,4.736728667,47.85813567,48.09197177
17.5,1.5,6.771591505,46.66673182,47.15546957
17,1.5,6.750814519,45.93060952,46.42407121
