#pos_x,pos_y,vertical,horizontal,magnitude
6.5,0,-9.749914962,34.90735286,36.24340113
6.5,0.5,-8.092558055,38.48001898,39.32176696
6.5,1,-9.044503809,39.73757186,40.75386689
6.5,1.5,-8.88394192,40.4297877,41.39434935
6.5,2,-3.159550784,42.48958333,42.60689443
6.5,2.5,-7.408190568,42.12001528,42.76654036
6.800000191,2.799999952,-18.41181618,40.53316407,44.51889896
7.199999809,3.200000048,-17.3720778,41.6737092,45.14960826
7.5,3.599999905,-5.856635323,44.24577801,44.63170453
7.75,4,-15.34317438,41.71180946,44.44421277
8,4.5,-6.380951157,43.23027456,43.69866332
8,5,-1.667698351,42.5107592,42.54345855
8.399999619,5.400000095,-10.08296176,40.68613541,41.91691464
9,5.5,-18.03479499,37.96988352,42.03529333
9,6,-4.540488328,39.87597358,40.13364303
9.5,6,-27.06165109,31.8864329,41.82197464
10,6,-26.59849536,32.21820455,41.77909358
10.5,5.5,-33.88796479,25.9641268,42.69110022
11,5.199999809,-34.46491242,25.27098196,42.73701812
11.5,5,-29.63829597,29.56024617,41.85972697
11.5,4.5,-33.17503476,28.4401522,43.69697002
11.75,4,-34.99731658,24.68282044,42.82585426
12,3.5,-34.33035957,25.39253981,42.70075721
12.5,3.200000048,-25.94348576,33.61214656,42.45987341
13,3,-28.21313261,32.72292875,43.20614444
13.5,3,-27.03140706,34.96931721,44.19898318
14,3,-25.31236367,37.19585596,44.99163762
14.60000038,3,-27.39558434,36.40945793,45.56497194
15,2.5,-32.96977667,28.91370257,43.85211934
15.5,2,-32.98492101,29.18838276,44.04505309
15.5,1.399999976,-26.05492739,36.56363828,44.89720354
15,1,-7.152877731,44.23808495,44.81263013
14.89999962,0.5,-24.46280321,35.8031996,43.36240125
15,0,-28.01685342,34.41079264,44.37394196
15.60000038,0,-18.27210211,39.99853194,43.97445023
16,0.5,-8.859930454,41.54247001,42.47676049
16.5,0.5,-18.04363491,40.00079492,43.88207328
17,0.699999988,-8.974533549,43.72277112,44.63432499
17.5,1,-15.01176984,43.77042239,46.27313594
18,1,-22.97928252,42.36370108,48.19471542
18.5,1,-21.26951335,43.31385637,48.2543506
19,1,-21.07805977,44.29475075,49.05414914
19.5,1,-21.06283871,43.01290458,47.89314288
20,1,-17.82029137,43.56030432,47.06445471
20,1.5,9.385227591,44.69630066,45.67101695
20,2,11.77432233,44.34818257,45.88459397
19.5,2.5,10.82945831,46.1742838,47.42722479
19.5,3,9.191175902,42.66023426,43.63912581
19,3.5,1.415644426,43.64697835,43.66992979
19,4.099999905,2.686357258,42.33565034,42.42079449
